TIC_ID,RA,DEC,Target_Magnitude,Target_Temperature,Target_Radius,Target_Mass,Target_Luminosity,Neighbor_Count,Nearest_Distance_arcsec,Nearest_Magnitude,Brightest_Neighbor_Magnitude,Mean_Neighbor_Magnitude,Total_Neighbor_Flux,Sector,LightCurve_File,Transit_Detected,Detected_Period_days,Transit_Depth,Transit_Duration_hours,Signal_to_Noise,Predicted_Class,Confidence,True_Label
10551443.0,340.236637100996,32.7872140105408,11.5965,4566.22,10.6213,,,4,10.639274587707686,16.3716,16.0093,16.7759,9.048758190488864e-07,56,,,,,,,,,
10551484.0,340.11620746615,32.8273679050739,10.5534,4564.0,9.44586,,,2,13.560801638644874,16.3296,16.3296,16.4907,5.122869745041918e-07,56,,,,,,,,,
10551504.0,340.221089042923,32.8465307773558,10.3026,6566.0,1.35195,1.362,,2,6.252537414578328,14.4141,14.4141,17.2178,1.725182573686185e-06,56,,,,,,,,,
10551532.0,340.141035950322,32.8739073864695,11.3437,6352.68,1.88369,1.26,,1,29.261986186984423,19.1774,19.1774,19.1774,2.1332413828909914e-08,56,,,,,,,,,
10551635.0,340.200948729547,32.9929509085158,9.9527,5856.93,1.2452,1.058,,3,9.610521026350378,19.7367,16.4277,17.911066666666667,3.7508928219474976e-07,56,,,,,,,,,
10551644.0,340.197257425302,33.0040924282554,11.1877,4469.0,11.247,,,2,28.633441223092436,16.4277,16.4277,18.0849,2.811661729698547e-07,56,,,,,,,,,
10551773.0,340.240109816366,33.1708248179418,10.6944,6185.07,1.90046,1.18,,0,,,,,,56,,,,,,,,,
10551795.0,340.150489181408,33.1968820070088,11.2963,4740.0,10.7775,,,5,11.283645803285987,18.9507,14.6266,16.76192,2.4086937347516658e-06,56,,,,,,,,,
10551893.0,340.220883961715,33.3044444543142,10.1842,4183.0,41.106,,,4,19.735822025656127,17.2808,17.2808,18.427225,2.2406555369570345e-07,56,,,,,,,,,
10551928.0,340.209502582014,33.3399582028746,8.5747,4555.0,20.6164,,,1,20.47463743107761,19.5708,19.5708,19.5708,1.4848411677129542e-08,56,,,,,,,,,
